id,english,google_translate_sundanese
30,"In the upcoming 2018 World Cup, Telkomsel will take part as an official broadcasting partner for the worldwide football event.","Dina Piala Dunia 2018 nu bakal datang, Telkomsel bakal milu jadi mitra penyiaran resmi pikeun acara maén bal sadunya."
31,He/She usually buys Paseo tissue.,Biasana meuli tisu Paseo.
32,"The bus just wasn't comfortable, miss. Not as good as your boss promised, not to mention the atrocious food, and the disappointing tour destination.","Beusna teu nyaman, cik. Teu sakumaha alus sakumaha boss anjeun jangji, teu nyebut dahareun atrocious, sarta tujuan wisata nguciwakeun."
33,"Pretty easy to locate this place, just gotta follow the directions from the city centre. Later, you should spot a pretty crowded parking space on your left side, that's where this cafe is. Seems like the cafe's rarely empty, really lotsa visitors.","Lumayan gampang pikeun manggihan tempat ieu, ngan kudu turutan arah ti puseur kota. Engké, anjeun kedah ningali tempat parkir anu lumayan rame di sisi kénca anjeun, éta tempat kafe ieu. Sigana mah kafe teh jarang kosong, loba pisan nu datang."
34,"I'm so disappointed with this provider, to the point where I'm frustrated, angry, and mad. I even need to step outside because the signal is just that bad.","Abdi kuciwa pisan sareng panyadia ieu, dugi ka kuring frustasi, ambek, sareng gelo. Kuring malah kedah ngaléngkah ka luar sabab sinyalna parah pisan."
35,"The pillow sheet, bed sheet, and blankets are no longer white...and the walls have become mouldy","Sprei bantal, sprei, jeung simbut geus teu bodas deui...da tembokna geus kapang"
36,"And when we arrived, this event just went even deeper down the drain. I was just utterly disgusted with him, seriously! Look, I'm sorry, but I just hate the guy with every fiber of my being.","Sarta lamun urang anjog, acara ieu ngan indit malah deeper handap solokan nu. Kuring ngan utterly disgusted jeung manéhna, serius! Tingali, hapunten, tapi kuring ngan ukur nyéépkeun lalaki kalayan unggal serat kuring."
37,"We had a dinner event at the time, the ice cream was not separated from the espresso so we weren't able to mix it to our personal preferences. The salmon steak wasn't that fresh either, the skin was tough, must've been kept too long in the fridge or freezer. Ironic, considering it was supposed to be the delicious main course.","Kami ngagaduhan acara tuangeun dina waktos éta, és krim henteu dipisahkeun tina espresso janten kami henteu tiasa nyampur kana karesep pribadi. Steak salmon ogé henteu seger, kulitna tangguh, kedah disimpen lami teuing dina kulkas atanapi freezer. Ironis, tempo eta sakuduna dituju janten kursus utama nikmat."
38,"The place is easy to find. It's clean and hygenic, the service's great, and we can discuss the available meals. Pretty cool","Tempatna gampang dipanggihan. Ã‰ta beresih sareng higenis, jasana saé, sareng urang tiasa ngabahas tuangeun anu sayogi. Geulis tiis"
39,The best dinner buffet. You get all your money's worth. Tastes great with lots of options. There's even a group discount sometimes. Keep it up.,The pangalusna dinner Tambaksari. Anjeun meunang sagala duit anjeun patut. Rasa hébat sareng seueur pilihan. Malah kadang aya diskon grup. Teraskeun éta.
40,"Perfect place to enjoy the night. It's quite comfy. Somewhat affordable, too. My favorite is the tenderloin steak. Pretty delicious","tempat sampurna ngarasakeun peuting. Ieu rada comfy. Rada affordable, teuing. Karesep kuring nyaéta steak tenderloin. Lumayan ngeunah"
41,"I tried to break my fast here. For a relatively expensive price compared to high-class hotels like it, the food was very disappointing. The pasta was bland, and the others were just as tasteless. A lot different than what they usually served. And the service wasn't all that professional, especially when paying with credit cards.","Abdi nyobian buka puasa di dieu. Pikeun harga anu kawilang mahal dibandingkeun hotél kelas luhur kawas éta, dahareun éta pisan nguciwakeun. pasta éta hambar, jeung nu lianna éta sagampil hambar. Beda pisan sareng anu biasana dilayanan. Sareng jasa éta henteu sadayana profésional, khususna nalika mayar nganggo kartu kiridit."
42,"I am so confused, almost all of that figure's supporters are the same, they usually just yell, slander, flame, spread hoax, let their emotions run wild, and never use their common sense","Aing jadi bingung, meh kabeh pendukung eta tokoh teh sarua, biasana mah ngan gogorowokan, fitnah, api-api, nyebar hoax, emosina kabur, teu pernah make akal sehat."
43,"Nusa Indah Eatery is disappointing now, man. Filthy, smokers are just allowed in AC-ed room, food takes a decade to come.","Nusa Indah Eatery ayeuna nguciwakeun, man. Kotor, perokok ngan diidinan di kamar AC-ed, dahareun butuh dasawarsa datang."
44,Nadia is looking for a shirt in Uniqlo for her brother.,Nadia milarian kaos di Uniqlo kanggo lanceukna.
45,"101 Dalmations: the series is an animated television series produced by Disney Television Animation, in collaboration with Jumbo Pictures.","101 Dalmations: séri nyaéta séri televisi animasi anu diproduksi ku Disney Television Animation, gawé bareng sareng Jumbo Pictures."
46,The Inter-Korean Liaison Office will be opened this week,Kantor Liaison Antar-Korea bakal dibuka minggu ieu
47,Share the love with Sinde! Get 50 Umrah packages for every purchase over Rp 15.000 in Alfamart!,Bagikeun cinta sareng Sinde! Kéngingkeun 50 pakét Umrah kanggo unggal pameseran langkung ti Rp 15.000 di Alfamart!
48,"Buy shirts, hats, or watches in Lapak Monoton Roomstore, price negotiable for phone app users, my dudes","Mésér kaos, topi, atanapi jam tangan di Lapak Monoton Roomstore, harga tiasa ditawar pikeun pangguna aplikasi telepon, dulur kuring."
49,"Google Maps app is really useful, I'm satisfied!","Aplikasi Google Maps leres-leres mangpaat, kuring sugema!"
50,"On Saturday night there, couples are given uncomfortabe seats, since it'll always shake whenever people pass by, feels more like a roadside stall.The food is not worth the price at all, couples should be given a good spot, not being randomly placed on seats like that.","Malem Saptu didinya, tara dipasihan korsi nu teu betah, da sok oyag-oyag iraha aya nu ngaliwat, asa beuki jongjon di sisi jalan. Dahareunna mah teu pantes pisan, pasangan kudu dibere tempat nu alus, teu sambarangan ditempatkeun dina korsi kitu."
51,The menu is decently varied and makes you wanna order them all. Affordable? Absolutely!,menu nu geus decently variatif sarta ngajadikeun anjeun wanna mesen kabeh. Mampuh? Leres pisan!
52,Share this as much as you can. Let's see him get arrested. Been a long time since I see someone apologizing while crying their eyes out and begging to their moms saying that it was just an accident.,Bagikeun ieu saloba Anjeun tiasa. Hayu urang tingali anjeunna ditahan. Geus lila saprak kuring nempo batur apologizing bari ceurik panon maranéhanana kaluar jeung begging ka moms maranéhanana nyebutkeun yen ieu ngan kacilakaan.
53,"This Soto Kudus is usually served by street vendors, so we weren't really sure about it at first. But because we want a little taste of Kudus, well, we had to try it. Eee turns out it's pretty good, yo. You can also mix them up with different choices if you want, at any rate it's so delicious, kay. The price is also so, so cheapo.","Soto Kudus ieu biasana disuguhkeun ku para PKL, jadi mimitina urang teu pati yakin. Tapi kusabab urang hoyong sakedik rasa Kudus, nya, urang kedah nyobian. Eee ternyata lumayan, yo. Anjeun ogé tiasa nyampur sareng pilihan anu béda upami anjeun hoyong, kumaha waé éta ngeunah pisan, kay. Hargana oge kitu, murah pisan."
54,Nightly exercise can be a viable option to fill in your free time.,Latihan wengi tiasa janten pilihan anu lumayan pikeun ngeusian waktos luang anjeun.
55,"Seafood restaurant. Specialty dish is crab with edible shells. For me personally, it's not that good. The shell's still pretty hard. Service is just average, too.","réstoran seafood. Hidangan khusus nyaéta yuyu kalayan cangkang anu tiasa didahar. Pikeun kuring pribadi, éta henteu saé. Cangkang masih cukup teuas. Service ngan rata, teuing."
56,"Tastes pretty good, but a bit pricy because of the smaller portion. There's also Infused Kangen Water, which is enough for 4 people","Rasa anu saé, tapi rada mahal kusabab porsi anu langkung alit. Aya ogé Infused Kangen Water, anu cukup pikeun 4 urang"
57,"Things seem to be going smoothly for the Banda Aceh region and its vicinities, no issues whatsoever.","Sagalana sigana lancar pikeun wilayah Banda Acéh sareng sakurilingna, teu aya masalah nanaon."
58,So cranky with Gojek drivers who always get lost when they're trying to come to my house,Jadi reuwas jeung supir Gojek anu sok kasasar lamun rék datang ka imah kuring
59,"Cozy cafe, tasty and cheap with a unique cafe design that makes us feel at home. ...","Kafé anu nyaman, ngeunah sareng murah kalayan desain kafe anu unik anu ngajantenkeun urang betah. ..."
60,"Been more than a month since I had an Indomie, and when I finally do I'll always make two portions of Indomie Goreng Jumbo","Geus leuwih ti sabulan kuring boga Indomie, nepi ka ahirna kuring sok nyieun Indomie Goreng Jumbo dua porsi."
61,"I had goat leg, it was tender and quite big for medium size. Perfect for one person, with no rice, coupled with iced lemon tea. Pretty fresh, but the place reeked of smoke. I guess it's expected, it's roasted goat after all, hehehe","Kuring kungsi leg embe, éta lembut sarta cukup badag pikeun ukuran sedeng. Sampurna pikeun hiji jalma, tanpa béas, ditambah ku iced lemon tea. Geulis seger, tapi tempat reeked haseup. Sigana mah geus diarep-arep, eta embe panggang barina, hehehe"
62,"The spot's pretty unique, the flavour is standard, the menu is average too, only the site iss interesting because of its uniqueness, such as the way to call server is by hitting a slit drum. When I went there at night, due to the rain, the air was quite cold, bone-chilling even, I had to wait about 15 minutes to get a seat since it was a full house at the time. Recommended to visit in the afternoon hours.","Tempatna cukup unik, rasana standar, menu rata-rata ogé, ngan situsna pikaresepeun kusabab keunikanna, sapertos cara nelepon server nyaéta ku ngetok kendang. Nalika kuring indit ka dinya peuting, alatan hujan, hawa rada tiis, malah chilling tulang, kuring kudu ngadagoan ngeunaan 15 menit pikeun meunangkeun korsi saprak éta imah pinuh dina waktu éta. Disarankeun nganjang dina jam soré."
63,"In the 2018 Regional Elections, Polri was asked to increase their security around polling stations","Dina Pilkada 2018, Polri diajak ningkatkeun kaamanan di sabudeureun TPS"
64,Ain't y'all bored of Indonesian films featuring this guy again and again? Not saying he ain't good but if it's just this actor all the time the moviegoers will definitely get sick of him.,"Naha anjeun teu bosen film-film Indonésia anu ngémutan deui lalaki ieu? Henteu nyarios yén anjeunna henteu saé tapi upami éta ngan ukur aktor ieu sepanjang waktos, para pamayang pasti bakal gering anjeunna."
65,"Yesterday, Dian bought a new pair of pants via the Lazada app.","Kamari, Dian meuli calana panjang anyar ngaliwatan aplikasi Lazada."
66,"We were on our way to Lembang with an empty stomach. When we saw Saung Pengkolan, we immediately stopped to eat. We chose the Lesehan spot on the second floor to get a nice view to go with our meal. Our orders were fried calamari, crispy-fried gourami, Tumis Genjer, and two other tofu dishes which I forgot the names of. Overall, there really wasn't anything special from the dishes being served. Maybe it was my choice. Continued.","Kami nuju ka Lembang kalayan beuteung kosong. Nempo Saung Pengkolan, langsung eureun dahar. Urang milih titik Lesehan di lantai kadua pikeun meunangkeun tempoan nice pikeun buka kalayan hidangan urang. Pesenan urang cumi goreng, gurami goreng, Tumis Genjer, sareng dua tuangeun tahu anu kuring hilap namina. Gemblengna, teu aya anu khusus tina tuangeun anu disayogikeun. Meureun éta pilihan kuring. Dituluykeun."
67,"Got a 12.500 Tcash bonus but coudn't use it to buy 10 thousand credits, huh weird.","Gaduh bonus 12.500 Tcash tapi teu tiasa dianggo pikeun mésér 10 rébu sks, huh aneh."
68,"The first time I came there, the tables were worn-out and the menu didn't have much to offer. But the price wasn't appropriate at all, because you could have gotten a lot more for the price you paid them. Especially the toilet, it was gross and absolutely reeking.","Pertama kali kuring datang ka dinya, tabel anu dipaké-kaluar sarta menu nu teu boga loba tawaran a. Tapi hargana henteu pas pisan, sabab anjeun tiasa nampi langkung seueur pikeun harga anu anjeun mayar. Utamana toilét, éta kotor tur kacida reeking."
69,"What kind of drink has such a weird way of drinking? Tastes just as weird, too",Jenis inuman naon anu gaduh cara nginum anu aneh? Rasana sarua anehna oge
70,"February 12th is my partner's birthday, and I invited her to dine in a famous restaurant in Surabaya. I wanted to give her birthday gifts along with a delicious meal there. But, at the time I arrived there around half past 3. The place was packed so we had to wait. The waiting list then was around 4 tables.","Tanggal 12 Pebruari ulang taun pasangan kuring, kuring ngajak tuang di réstoran anu kasohor di Surabaya. Abdi hoyong masihan kado ulang taunna sareng tuangeun anu lezat di dinya. Tapi, waktu kuring nepi ka dinya kira-kira jam satengah 3. Tempatna geus ramé jadi kudu nungguan. Daptar ngantosan lajeng éta sabudeureun 4 tabel."
71,"Don't like seeing highschoolers these days, using jilbab but letting the hair out on purpose, what's the meaning of that?","Tong resep ningali budak SMA jaman ayeuna, make jilbab tapi ngahajakeun buuk, naon maksudna?"
72,Our country's leader candidates are carefully preparing their strategies for victory,Calon pamingpin nagara urang sacara saksama nyiapkeun strategi pikeun meunangna
73,My brother is watching Harry Potter on Trans TV,Lanceuk kuring nuju nonton Harry Potter dina Trans TV
74,"One of my favourite restaurants in Bandung. The location is isolated, but still reachable. The food menu is very tasty, very Sundanese. The landscape is pretty, and the atmosphere satisfies both the eyes and the tongue. after being stuffed with the food, there is an urge to take a nap in the grotto.","Salah sahiji réstoran favorit kuring di Bandung. Lokasina terasing, tapi masih tiasa dicapai. Menu kadaharanana ngeunah pisan, Sunda pisan. Bentang anu geulis, sareng suasana nyugemakeun boh panon sareng létah. sanggeus dieusi dahareun, aya nu ngajurung pikeun sare di grotto."
75,"Where are your fangs, KPK? You took a whole lot of effort in solving pretend cases worth only tens of millions. Are you out of your mind, KPK?","Mana taring anjeun, KPK? Anjeun nyandak seueur usaha pikeun ngarengsekeun kasus pura-pura ngan ukur puluhan juta. Ari teu apal, KPK?"
76,"This menu here is honestly really simple but the owner is creative. The noodles, bread, and desserts can be mixed and matched from a variety of options. The venue is also fun to hang out with friends. The price isn't that expensive, it just fits the taste.","Menu ieu di dieu leres-leres saderhana tapi anu gaduhna kreatif. Mie, roti, sareng manisan tiasa dicampur sareng dicocogkeun tina sababaraha pilihan. Tempatna ogé pikaresepeun pikeun nongkrong sareng réréncangan. Hargana henteu mahal, ngan pas kana rasa."
77,"A restaurant with a different serving method. The dining plates are replaced with sheets of banan leaves. The menu is distincly Sundanese with flavorful taste. The price is quite friendly too, with a vast dining room and lots of table selections, the parking spot is also huge.","Réstoran kalayan metode porsi anu béda. Piring dahar diganti ku lambar daun cau. Menu anu khas Sunda kalayan rasa anu gurih. Hargana ogé lumayan, kalayan kamar makan anu lega sareng seueur pilihan méja, tempat parkir ogé ageung."
78,"Alas Daun restaurant offers Sundanese traditional menu that doesn't really stand out among other Sundanese restaurants, but what makes them different is that they don't use any plates. Instead, they use banana leaves on top of the dining table as plates. It feels like Indian people, who actually eat food on top of banana leaves.","Réstoran Alas Daun nawiskeun ménu tradisional Sunda anu teu pati menonjol diantara réstoran Sunda sanés, tapi anu ngabédakeunana nyaéta henteu nganggo piring. Gantina, aranjeunna ngagunakeun daun cau dina luhureun meja makan salaku piring. Asa kawas urang India, nu sabenerna ngadahar kadaharan dina luhureun daun cau."
79,The soto is a bit spicy but still tasty. The fresh passion fruit syrup and ice lolly are also good,Sotona rada lada tapi tetep ngeunah. Sirop markisa seger sareng és lolly ogé saé
80,"I came to this restaurant to have a dinner with my friend. I ordered a chicken steak, which I honestly forgot the name of. The taste was really just meh, bland. The chicken felt too thick, tough, and very dry. Nothing special about this place.","Kuring datang ka réstoran ieu pikeun dinner jeung sobat kuring. Kuring maréntahkeun steak hayam, nu kuring jujur â€‹â€‹poho ngaran. Rasa éta bener ngan meh, hambar. Hayam karasa teuing kandel, tangguh, sareng garing pisan. Euweuh husus ngeunaan tempat ieu."
81,We've been at each other's throats for the past 4 years.,Geus 4 taun katukang.
82,Dad usually uses Kiwi shoe polish,Bapa biasana nganggo semir sapatu Kiwi
83,"Richeese factory is a franchise restaurant that serves spicy chickens with varying levels. Perfect for you, hot and spicy food enjoyers","Pabrik Richeese mangrupikeun réstoran waralaba anu nyayogikeun hayam lada kalayan tingkat anu béda-béda. Sampurna pikeun anjeun, anu resep tuangeun panas sareng lada"
84,"While having a meeting in Hotel Sensa, I ordered Batagor Riri using Gofood/Gojek app. My order came not long after because turns out they had packed the siomay-and-batagor package inside a vacuum bag. The price listed on the gojek app does not include the 10% tax.","Nalika rapat di Hotel Sensa, kuring mesen Batagor Riri nganggo aplikasi Gofood/Gojek. Pesenan kuring datang teu lila sabab tétéla maranéhna geus ngarangkep bungkusan siomay-na-batagor di jero kantong vakum. Harga anu didaptarkeun dina aplikasi gojek henteu kalebet pajak 10%."
85,"I visited this restaurant outside of lunchtime. However, the restaurant was still rather crowded, but luckily we got our seats quickly. Once we're seated, the food and beverages were immediately served. The green sambal didn't taste spicy enough for us. The delicious food we are here was pretty filling though.","Kuring didatangan réstoran ieu di luar lunchtime. Sanajan kitu, réstoran éta masih rada rame, tapi untung urang meunang korsi urang gancang. Saparantos calik, tuangeun sareng inuman langsung disayogikeun. Sambal hejo teu karasa lada keur urang. Kadaharan lezat kami di dieu éta cukup ngeusian sanajan."
86,"Sometimes I get jealous when I see him joking around with a girl, but I'm no one to him","Sakapeung kuring timburu ningali anjeunna bobodoran sareng budak awéwé, tapi kuring henteu saha waé pikeun anjeunna"
87,Last time I ate their food was via delivery order. My kid really loved the potato fritters with meat filling. A very popular old-school restaurant. The price is just right and the taste is great.,Panungtungan waktu kuring dahar kadaharan maranéhanana éta via pesenan pangiriman. Barudak kuring resep pisan kana fritters kentang sareng isian daging. Réstoran kuno anu kasohor pisan. Hargana pas sareng rasa anu saé.
88,Parking was so hard I needed to turn around 3 times. Word of advice: park near the hotel and just walk there. Restaurant's in the housing area.,Parkir éta jadi teuas kuring diperlukeun pikeun ngahurungkeun sabudeureun 3 kali. Kecap nasihat: parkir deukeut hotél sarta ngan leumpang di dinya. Réstoran di daérah perumahan.
89,"I'm baffled with Telkomsel, their quotas are huge but they run out very quickly, even though I don't really use heavy apps. Suspicious","Abdi bingung ku Telkomsel, kuotana ageung tapi gancang pisan béakna, padahal abdi mah teu nganggo aplikasi anu beurat. Curiga"
90,"Kids these days, having no qualms about stealing even though they just grew up.","Barudak jaman ayeuna, teu boga qualms ngeunaan maok sanajan maranéhanana kakara tumuwuh nepi."
91,"Got a chance to enjoy the breakfast when staying in this hotel. As a new visitor like me and maybe many others, you might get excited with the breakfast atmosphere with a nice view of the East side, because that side shows the beauty of the hotel building including its swimming pool. Aside from that, there's also the hills and mountains that just beg you to take pics with","Ngagaduhan kasempetan pikeun ngarasakeun sarapan nalika cicing di hotél ieu. Salaku nganjang anyar kawas kuring sarta meureun loba batur, Anjeun bisa jadi bungah jeung atmosfir sarapan kalawan pintonan nice ti sisi Wétan, sabab sisi eta nembongkeun kaéndahan wangunan hotél kaasup kolam renang na. Sajaba ti éta, aya ogé pasir jeung gunung nu ngan menta anjeun nyandak poto kalawan"
